date,Close,score,signal,策略总资产,买入持有总资产
2025-07-24,40966.15826030814,0.0,Hold,10000.0,10000.0
2025-07-25,39848.36688646176,-0.3753,Sell,10000.0,9727.142738954508
2025-07-26,39495.8961364892,0.0,Hold,10000.0,9641.103245640814
2025-07-27,40878.6495136827,-0.17,Hold,10000.0,9978.638771527125
2025-07-28,42365.19748235949,0.31245,Buy,10000.0,10341.510964528707
2025-07-29,42907.058714749306,0.0,Hold,10127.902444598647,10473.781417849399
2025-07-30,43675.6922843305,0.0,Hold,10309.3328675068,10661.407888629774
2025-07-31,45520.389514728275,0.33525,Buy,10744.76037405056,11111.705721947743
2025-08-01,45535.16417508409,0.6705,Buy,10748.24782630709,11115.31227452266
2025-08-02,45505.84171409665,-0.7506,Sell,10741.326470399412,11108.154546721795
2025-08-03,45507.46589108358,0.0,Hold,10741.326470399412,11108.551014698267
2025-08-04,45199.12986072575,0.16524999999999998,Hold,10741.326470399412,11033.28497964597
2025-08-05,46202.44152032178,0.08895,Hold,10741.326470399412,11278.197293175777
2025-08-06,46194.74699656206,0.16524999999999998,Hold,10741.326470399412,11276.31902972944
2025-08-07,45851.43714556161,0.0,Hold,10741.326470399412,11192.515747806108
2025-08-08,47248.78151594036,0.0,Hold,10741.326470399412,11533.612992390214
2025-08-09,46937.32060461235,-0.7506,Sell,10741.326470399412,11457.584161629731
2025-08-10,47657.50550998394,-0.7506,Sell,10741.326470399412,11633.384123343341
2025-08-11,46251.21015005969,0.33525,Buy,10741.326470399412,11290.101907083683
2025-08-12,46773.2652901744,0.0,Hold,10862.567940132392,11417.537615552477
2025-08-13,49776.5903490141,0.31245,Buy,11560.056607976192,12150.661048742355
2025-08-14,48542.01068374608,0.6476999999999999,Buy,11273.339283276242,11849.295307433827
2025-08-15,47633.03548637904,-0.17,Hold,11062.239955999452,11627.410894550587
2025-08-16,47871.434392746305,0.0,Hold,11117.605436711607,11685.605003173716
2025-08-17,49484.98642049101,0.0,Hold,11492.33485569868,12079.479385411814
2025-08-18,49166.73608283971,0.1779,Hold,11418.424772807084,12001.793229041215
2025-08-19,48164.01512588104,0.0,Hold,11185.55404093953,11757.025108343356
2025-08-20,49358.792585795476,0.08895,Hold,11463.02774843341,12048.674975124262
2025-08-21,50795.932785613615,0.0,Hold,11796.787492662756,12399.486537850313
2025-08-22,50246.32682787505,0.0,Hold,11669.147653553835,12265.325566678388
2025-08-23,50251.51251947755,-0.7506,Sell,11670.35197245266,12266.591414349421
